95	׀	paseq
94	אֱלֹהִים	
92	יִשְׂרָאֵל	Israel|Ēl persisteth|persevereth
92	אַ֫יִן	nothing|nought
92	יָד	hand
89	פָּנֶה	face|faces
84	בֵּן	son
84	רָאָה	see
84	קָרָא	call|proclaim|read
80	מֶ֫לֶךְ	king
79	אֲנִי	I
75	יָדַע	know
75	בַּ֫יִת	house
74	כֵּן	so
73	גּוֹי	nation|people
69	יָשַׁב	sit|remain|dwell
64	אִישׁ	man
62	צָבָא	army|war|warfare
61	הִנֵּה	lo!|behold!
60	מִי	who?
59	זֶה	this|here
58	נָשָׂא	lift|carry|take
57	מַי	waters|water
57	הַר	mountain|hill|hill-country
56	נָתַן	give|put|set
55	אָכַל	eat
55	שׂוּם	put|place|set
54	שֵׁם	name
52	עַד	as far as|even to|up to|until|while
52	כֹּה	thus|here
51	שׁוּב	turn back|return
51	רוּחַ	breath|wind|spirit
51	מִצְרַ֫יִם	Egypt|Egyptians
49	יְרוּשָׁלִַ֫͏ם	Jerusalem
49	דָבַר	speak
48	אָדוֹן	lord
47	עוֹד	a going round|continuance|still|yet|again|besides
47	דָּבָר	speech|word
47	דֶּ֫רֶךְ	way|road|distance|journey|manner
47	אֵת	with|proximity|from the surroundings|belongings of|from close proximity to
46	עִיר	city|town
46	צִיּוֹן	Ṣiyyôn|Zion
46	עוֹלָם	long duration|antiquity|futurity
45	עַ֫יִן	eye
45	אַל	
45	הֲ	
44	הֵן	lo!|behold
44	אַשּׁוּר	Asshur|Assyria
43	זֶה	this|here
42	מִשְׁפָּט	judgment
42	יַעֲקֹב	Jacob
41	פ	pe
41	יָצָא	go|come out
40	עָלָה	go up|ascend|climb
40	עֶ֫בֶד	slave|servant
38	קָדוֹשׁ	sacred|holy
38	כָּבוֹד	abundance|honour|glory
36	הָלַךְ	go|come|walk
36	צְדָקָה	righteousness
36	קוּם	arise|stand up|stand
36	קוֹל	sound|voice
36	עָבַר	pass over|through|by|pass on
34	נֶ֫פֶשׁ	soul|living being|life|self|person|desire|appetite|emotion|passion
34	תַּחַת	the under part|underneath|below|instead of
34	שָׁם	there|thither
33	חִזְקִיָּהוּ	hath strengthened| strengtheneth
33	שָׁמַי	heavens|sky
33	אֵשׁ	fire
33	שָׁלַח	send
32	מִן־	out of|from|on account of|off|on the side of|since|above|than|so that not
32	נָגַד	be conspicuous
32	אַתָּ֫ה	thou
31	גַּם	also|moreover|yea
31	אִם	
31	יָם	sea
31	לֵב	inner man|mind|will|heart
30	מָה	what?|how?|aught
30	אַף	also|yea
29	יְהוּדָה	Judah
29	עַתָּ֫ה	now
29	שָׁלוֹם	completeness|soundness|welfare|peace
29	יָשַׁע	deliver
28	רֹאשׁ	
28	פֶּה	mouth
28	מַ֫עַן	purpose|intent|for the sake of|on account of|to the intent|in order that
27	בַּת	daughter
27	יָחְדָּו	together
27	אוֹר	light
27	מַעֲשֶׂה	deed|work
27	אָדָם	man|mankind
27	נָטָה	stretch out|spread out|extend|incline|bend
27	שָׁנָה	year
27	אֵ֫לֶּה	these
27	יָצַר	form|fashion
26	זֶ֫רַע	sowing|seed|offspring
26	הָלַךְ	go|come|walk
26	רַב	much|many|great
26	אַף	nostril|nose|face|anger
26	אָֽנֹכִ֫י	I
26	זָכַר	remember
25	רוּם	be high|exalted|rise
25	עָוֹן	iniquity|guilt|punishment of iniquity
25	סוּר	turn aside
25	צֶ֫דֶק	rightness|righteousness
25	נְאֻם	utterance
25	נָפַל	fall|lie
25	יהוה	Yahweh|the one bringing into being|life-giver
25	יָרֵא	fear
24	יָרַד	come|go down|descend
24	יָלַד	bear|bring forth|beget
24	בַּל	not
23	אֵל	god
23	קֹ֫דֶשׁ	apartness|sacredness
23	גָּאַל	redeem|act as kinsman
22	עָזַב	leave|forsake|loose
22	מָלֵא	be full|fill
22	חֶ֫רֶב	sword
22	בּוֹשׁ	be ashamed
22	פָּתַח	open
22	נָצַל	strip|plunder|deliver oneself|be delivered|snatch away|deliver
21	הֵ֫מָּה	they
21	הוֹי	Ah|Alas|Ha
21	נָכָה	smite
21	אָב	father
21	חָזַק	be|grow firm|strong|strengthen
21	אֶחָד	one
21	בָּרָא	shape|create
21	לָקַח	take
21	נָהָר	stream|river
21	מוּת	die
21	מִדְבָר	wilderness
20	בִּין	discern
20	רֶ֫גֶל	foot
20	בָּחַר	choose
20	כָּבֵד	be heavy|weighty|burdensome|honoured
20	אֹ֫זֶן	ear
20	עֵצָה	counsel|advice
20	כַּאֲשֶׁר	according as|as|when
20	קָבַץ	gather|collect
20	בָּטַח	trust
19	יָסַף	add
19	רִאשׁוֹן	former|first|chief
19	מוֹאָב	Moab
19	יְשׁוּעָה	salvation
18	לֵבָב	inner man|mind|will|heart
18	כֶּ֫סֶף	silver|money
18	עָמַד	take one's stand|stand
18	תִּפְאָרָה	beauty|glory
18	לַ֫יְלָה	night
18	רָחֹק	distant|far|distance
18	כָּרַת	cut off|cut down
18	מָצָא	attain to|find
18	עוּר	rouse oneself|awake
18	דּוֹר	period|generation|dwelling
17	נָא	I|we|pray|now
17	שַׂר	chieftain|chief|ruler|official|captain|prince
17	נחם	be sorry|console oneself
17	עָנָה	answer|respond
17	אַתֶּם	you
17	אָסַף	gather|remove
17	קֶ֫רֶב	inward part|midst
17	מָקוֹם	standing-place|place
17	גָּלָה	uncover|remove
17	שָׁתָה	drink
17	עֵץ	tree|trees|wood
17	בָּשָׂר	flesh
17	זְרוֹעַ	arm|shoulder|strength
17	אִי	coast|region
16	יְשַׁעְיָ֫הוּ	salvation of Yah
16	אֲדָמָה	ground|land|tilled
16	אָדוֹן	lord
16	יָעַץ	advise|counsel
16	בָּעַר	burn|consume
16	שָׁפֵל	be|become low|be abased
16	לֶ֫חֶם	bread|food
16	פָּקַד	attend to|visit|muster|appoint
16	מָרוֹם	height
15	דָּם	blood
15	שָׁפַט	judge|govern
15	אָמַן	confirm|support
15	עָפָר	dry earth|dust
15	לָשׁוֹן	tongue
15	תָּעָה	err
15	נָבַט	look
15	שִׂמְחָה	joy|gladness|mirth
14	כֶּרֶם	vineyard
14	דָּרַשׁ	resort to|seek
14	מִלְחָמָה	battle|war
14	שָׁחָה	bow down
14	צַדִּיק	just|righteous
14	קָוָה	wait for
14	אֶ֫פֶס	ceasing
14	גָּדוֹל	great
14	יַ֫יִן	wine
14	הָמוֹן	sound|murmur|roar|crowd|abundance
14	רָעָה	pasture|tend|graze
14	חֹ֫שֶׁךְ	darkness|obscurity
14	אֶפְרַ֫יִם	Ephraim
14	יַ֫עַר	wood|forest|thicket
14	אֶ֫בֶן	stone
14	שָׁבַר	break|break in pieces
14	סָתַר	hide|conceal
14	מַמְלָכָה	kingdom|sovereignty|dominion|reign
14	כְּלִי	article|utensil|vessel
14	רָנַן	give a ringing cry
13	כַּף	hollow|flat of the hand|palm|sole of foot|hand
13	גִּבְעָה	hill
13	חוֹמָה	wall|protection
13	עָנִי	poor|afflicted|humble
13	קָרֵב	come near|approach
13	שָׂפָה	lip|speech|edge
13	שָׁכַן	settle down|abide|dwell
13	נוּס	flee|escape
13	בָּבֶ֫ל	Babel|Babylon
13	חֵמָה	heat|rage
13	סֵ֫פֶר	missive|document|writing|book
13	בֶּ֫גֶד	garment|covering
12	תּוֹרָה	direction|instruction|law
12	חָפֵץ	delight in
12	יָכֹל	be able|have power|prevail|endure
12	אָ֫וֶן	trouble|sorrow|wickedness
12	כָּלָה	be complete|at an end|finished|accomplished|spent
12	צוּר	rock|cliff
12	גָּאוֹן	exaltation
